연번,도로명,연장,차로수,방향,오전,낮,오후,전일,2022 년전일,전년대비
307.0,신사로,"1,929",4,양방향,23.5,21.9,21.3,22.4,24.3,-1.9
308.0,신월로,"3,004",6~7,양방향,21.7,21.4,19.4,21.2,22.2,-1.0
309.0,신월여의지하도로,"6,849",2~4,양방향,55.1,65.4,39.8,58.1,61.1,-3.0
310.0,신이문로,476,3,양방향,15.9,16.3,16.3,16.5,16.5,0.0
311.0,신정로,"3,098",5~6,양방향,23.3,24.5,22.0,24.0,24.2,-0.2
312.0,신정중앙로,"1,200",4,양방향,22.7,20.9,19.6,21.1,21.3,-0.2
313.0,신촌로,"3,329",8~10,양방향,24.3,21.7,19.0,22.0,22.2,-0.2
314.0,신풍로,"1,289",4,양방향,19.2,18.8,17.6,18.7,19.0,-0.3
315.0,쑥고개로,"1,434",4,양방향,18.9,19.1,18.6,19.1,20.0,-0.9
316.0,아리랑로,"1,305",4,양방향,17.3,16.0,14.2,16.2,16.4,-0.2
317.0,아리수로,"4,770",2~7,양방향,26.5,27.2,25.9,26.9,27.6,-0.7
318.0,아리수로50길,519,2,양방향,22.9,21.9,18.9,21.1,21.1,0.0
319.0,아차산로,"7,644",4~11,양방향,22.4,20.6,18.7,20.8,21.2,-0.4
320.0,아차산로70길,538,4,양방향,13.7,13.8,13.1,13.7,13.6,0.1
321.0,안암로,"1,745",4~6,양방향,23.2,22.9,21.0,22.7,21.3,1.4
322.0,안양천로,"12,974",2~7,양방향,31.6,31.5,25.4,30.6,30.3,0.3
323.0,압구정로,"2,894",6~8,양방향,25.3,18.3,14.3,19.3,19.0,0.3
324.0,약령시로,"1,694",2~4,양방향,16.3,14.9,14.8,15.6,15.8,-0.2
325.0,양녕로,"5,097",4~10,양방향,23.1,22.2,19.1,22.1,22.3,-0.2
326.0,양산로(송파),453,6,양방향,19.8,18.8,17.4,19.0,19.6,-0.6
327.0,양산로(영등포),"1,702",2,양방향,14.7,13.1,12.4,13.6,13.9,-0.3
328.0,양재대로,"17,101",4~12,양방향,27.7,26.3,21.9,26.0,26.5,-0.5
329.0,양재대로156길,705,2,양방향,21.3,23.6,22.3,22.8,24.6,-1.8
330.0,양재대로55길,330,3,양방향,15.3,15.0,14.2,15.0,15.7,-0.7
331.0,양재천로,"4,519",2,양방향,23.7,23.0,18.1,22.6,24.1,-1.5
332.0,양천로,"7,493",4~9,양방향,21.8,20.7,18.6,20.9,21.4,-0.5
333.0,양천로27길,297,4,양방향,11.9,14.1,10.2,13.1,14.3,-1.2
334.0,양천로55길,372,2,양방향,16.0,15.5,14.9,15.4,15.9,-0.5
335.0,양천로57길,309,4,양방향,16.1,14.2,13.6,14.7,15.3,-0.6
336.0,양천로59길,297,2,양방향,14.9,13.8,12.7,14.1,14.4,-0.3
337.0,양천로61길,298,5,양방향,16.6,15.1,13.4,15.5,15.3,0.2
338.0,양평로,"2,290",4~6,양방향,26.2,24.8,22.6,24.8,24.4,0.4
339.0,양화로,"2,113",8~11,양방향,24.1,17.7,16.2,19.2,19.8,-0.6
340.0,언주로,"12,051",4~9,양방향,29.8,26.1,21.9,26.6,27.2,-0.6
341.0,여의공원로,"1,246",3~4,양방향,21.6,20.3,19.2,20.5,20.9,-0.4
342.0,여의나루로,"1,338",2~5,양방향,16.6,15.4,13.5,15.4,15.7,-0.3
343.0,여의대로,"2,734",10~15,양방향,34.5,33.4,29.6,33.3,33.7,-0.4
344.0,여의대방로,"6,608",2~9,양방향,28.0,26.5,23.2,26.4,26.3,0.1
345.0,여의동로,"3,826",2~5,양방향,23.2,21.7,20.1,22.0,22.1,-0.1
346.0,여의서로,"3,105",2~9,양방향,24.3,23.4,22.0,23.8,24.4,-0.6
347.0,역말로,"1,890",3~4,양방향,19.3,18.1,16.0,18.0,19.0,-1.0
348.0,역삼로,"3,728",4~5,양방향,20.8,17.1,12.5,17.4,17.9,-0.5
349.0,연남로,"1,151",2,양방향,22.0,20.0,19.2,20.5,20.7,-0.2
350.0,연서로,"4,887",4~6,양방향,23.7,20.5,18.2,21.1,21.5,-0.4
351.0,연세로,550,2,양방향,16.4,13.7,13.1,14.4,-,-
352.0,연희로,"4,167",4~6,양방향,23.7,22.7,20.4,22.8,22.7,0.1
353.0,연희맛로,"1,364",2,양방향,19.8,15.6,15.2,17.2,17.1,0.1
354.0,영동대로,"5,740",6~14,양방향,25.8,22.8,19.8,23.3,23.7,-0.4
355.0,영등포로,"4,343",6,양방향,23.4,21.2,19.6,21.7,21.9,-0.2
356.0,영신로,"2,789",4~5,양방향,19.8,18.2,17.4,18.5,18.4,0.1
357.0,영중로,"1,366",6,양방향,19.8,18.3,17.6,18.8,19.3,-0.5
358.0,오금로,"5,355",4~7,양방향,23.0,21.3,19.6,21.6,21.9,-0.3
359.0,오류로,"1,089",3,양방향,15.8,16.0,13.9,15.5,15.8,-0.3
360.0,오리로,"3,374",4~7,양방향,23.1,25.0,21.1,24.2,24.2,0.0
361.0,오목로,"3,975",4~8,양방향,20.6,19.4,17.0,19.3,19.7,-0.4
362.0,오정로,"1,234",4,양방향,20.0,21.9,20.0,22.1,23.7,-1.6
363.0,오패산로,"4,244",2~5,양방향,20.1,19.0,17.8,19.2,19.5,-0.3
364.0,오현로,"2,261",2~4,양방향,20.2,20.0,18.8,19.8,20.4,-0.6
365.0,올림픽대로,"41,763",5~12,양방향,51.2,54.7,38.3,50.6,52.7,-2.1
366.0,올림픽로,"9,509",4~12,양방향,24.3,21.9,20.1,22.2,22.6,-0.4
367.0,올림픽로35길,"1,521",4~6,양방향,19.0,19.1,18.0,18.8,19.8,-1.0
368.0,올림픽로43길,"1,526",2,양방향,26.9,23.4,24.8,25.1,24.7,0.4
369.0,올림픽로92길,368,2,양방향,17.6,15.3,13.9,15.7,16.2,-0.5
370.0,올림픽로98길,346,2,양방향,18.7,15.0,13.6,15.8,16.3,-0.5
371.0,와우산로,"1,455",2~4,양방향,19.6,16.4,15.3,17.0,17.4,-0.4
372.0,왕산로,"3,210",5~8,양방향,23.2,19.7,18.9,20.9,21.6,-0.7
373.0,왕십리로,"4,231",4~8,양방향,24.5,20.6,18.3,21.4,21.3,0.1
374.0,외대역동로,"1,425",2~4,양방향,19.6,19.8,17.7,19.1,20.7,-1.6
375.0,용마산로,"7,285",4~9,양방향,22.4,22.1,20.5,22.0,22.3,-0.3
376.0,우면산로,"3,132",4~5,양방향,49.2,52.7,44.2,50.6,49.0,1.6
377.0,우이천로,"4,974",2~4,양방향,21.2,19.6,18.6,19.9,20.8,-0.9
378.0,우장산로,"1,330",2,양방향,19.7,18.6,17.3,18.9,20.2,-1.3
379.0,우정국로,748,6~9,양방향,19.7,15.4,15.7,17.3,17.9,-0.6
380.0,원효로,"2,750",4~6,양방향,23.5,20.7,19.1,21.5,22.0,-0.5
381.0,월계로,"4,004",4~8,양방향,23.5,22.1,20.7,22.5,22.7,-0.2
382.0,월곡로,936,2,양방향,16.5,16.5,12.3,15.9,16.7,-0.8
383.0,월드컵로,"4,945",5~10,양방향,24.4,23.4,21.0,23.4,23.8,-0.4
384.0,월드컵북로,"5,281",2~10,양방향,23.0,21.8,19.7,21.8,22.5,-0.7
385.0,위례서로,"1,730",6,양방향,24.6,26.3,23.7,25.4,25.1,0.3
386.0,위례성대로,"2,664",7~11,양방향,28.8,27.1,24.5,27.1,27.8,-0.7
387.0,위례순환로,878,4,양방향,16.5,15.4,14.4,15.6,15.9,-0.3
388.0,위례중앙로,996,6,양방향,23.7,23.7,22.7,24.0,25.7,-1.7
389.0,율곡로,"3,148",5~11,양방향,23.4,17.4,15.6,19.2,19.3,-0.1
390.0,은천로,"1,918",4,양방향,19.3,18.2,17.3,18.5,19.1,-0.6
391.0,은평로,"2,522",4~8,양방향,20.4,18.8,17.3,19.0,19.3,-0.3
392.0,은평터널로,"2,004",2,양방향,19.0,19.4,17.8,19.1,19.9,-0.8
393.0,은행로,719,4,양방향,18.1,15.4,16.5,17.2,17.8,-0.6
394.0,을지로,"3,027",6~9,양방향,25.2,20.4,17.4,21.2,21.8,-0.6
395.0,을지로45길,421,4,양방향,20.8,17.0,16.2,17.7,19.4,-1.7
396.0,응암로,"3,869",4~5,양방향,23.9,21.5,20.5,22.1,22.6,-0.5
397.0,의사당대로,"1,474",8~12,양방향,21.7,20.3,18.6,20.6,20.7,-0.1
398.0,이문로,"2,276",4~6,양방향,22.2,20.5,19.0,20.8,21.4,-0.6
399.0,이촌로,"4,620",2~10,양방향,23.8,22.3,19.9,22.2,22.6,-0.4
400.0,이촌로46길,532,4,양방향,25.5,22.8,13.4,21.5,22.0,-0.5
401.0,이촌로51길,551,2,양방향,23.8,23.3,20.7,22.8,23.3,-0.5
402.0,이태원로,"3,110",4~5,양방향,26.1,21.1,17.0,21.7,21.5,0.2
403.0,인수봉로,"3,193",4,양방향,22.6,21.9,20.7,21.9,22.0,-0.1
404.0,인촌로,"1,213",4,양방향,19.9,17.0,17.6,18.1,18.8,-0.7
405.0,인촌로24길,400,1,양방향,16.1,12.4,10.4,13.1,13.1,0.0
406.0,인촌로7길,636,2,양방향,15.1,12.9,12.1,13.8,14.2,-0.4
407.0,인촌로8길,813,2,양방향,22.8,21.9,21.8,22.4,22.9,-0.5
408.0,일원로,"1,217",4~5,양방향,16.5,14.8,15.0,15.6,16.2,-0.6
409.0,자곡로,891,6,양방향,24.1,24.7,21.1,23.7,23.7,0.0
410.0,자양로,"2,735",5~7,양방향,22.5,21.1,17.3,20.6,21.2,-0.6
411.0,자양번영로,960,2,양방향,20.9,17.1,17.3,17.9,19.5,-1.6
412.0,자하문로,"3,194",4~6,양방향,27.6,26.4,25.3,26.9,26.6,0.3
413.0,잔다리로,"1,379",4,양방향,17.4,16.2,14.6,16.1,16.6,-0.5
414.0,잠실로,"2,161",5~9,양방향,21.1,19.8,18.3,19.7,20.1,-0.4
415.0,잠원로,"2,575",4~10,양방향,25.1,22.7,19.6,22.7,23.0,-0.3
416.0,장문로,"1,019",2,양방향,23.3,20.7,20.8,21.7,21.9,-0.2
417.0,장승배기로,"1,776",4,양방향,18.4,19.4,18.8,19.2,19.8,-0.6
418.0,장안벚꽃로,"2,922",4,양방향,27.0,29.3,28.6,28.6,28.7,-0.1
419.0,장월로,"1,798",2,양방향,15.9,15.7,15.3,15.8,16.3,-0.5
420.0,장위로,"1,947",2,양방향,18.6,17.8,16.8,17.8,17.8,0.0
421.0,장충단로,"2,856",4~10,양방향,27.3,21.8,20.5,23.2,23.7,-0.5
422.0,장터길,453,2,양방향,18.6,16.6,14.0,16.6,15.8,0.8
423.0,장한로,"2,087",6,양방향,23.2,21.4,22.0,22.3,22.8,-0.5
424.0,전농로,"2,498",4~6,양방향,21.3,19.2,18.4,19.8,19.4,0.4
425.0,정동길,522,2,양방향,18.1,15.6,16.2,17.3,17.7,-0.4
426.0,정릉로,"3,811",5~9,양방향,30.6,33.0,25.3,31.1,30.3,0.8
427.0,정릉천동로,953,3~4,양방향,19.8,20.6,19.6,20.5,21.0,-0.5
428.0,제기로,"1,671",4~6,양방향,20.2,19.5,18.1,19.8,20.2,-0.4
429.0,조원중앙로,766,4,양방향,22.8,20.9,19.3,21.3,21.7,-0.4
430.0,종로,"4,181",6~8,양방향,23.2,17.1,15.1,18.8,19.2,-0.4
431.0,종로1길,450,3~4,양방향,19.6,15.9,15.6,18.1,19.5,-1.4
432.0,종암로,"2,224",8~9,양방향,22.8,20.2,17.0,20.6,21.3,-0.7
433.0,중계로,"2,494",2~5,양방향,18.6,17.2,16.8,17.6,18.7,-1.1
434.0,중대로,"3,247",5~7,양방향,25.3,23.7,22.0,23.9,24.2,-0.3
435.0,중랑역로,"2,836",2~4,양방향,17.2,15.2,15.0,15.9,17.0,-1.1
436.0,중랑천로,"3,258",4,양방향,21.4,21.7,20.9,21.6,21.9,-0.3
437.0,중림로,533,3,양방향,20.6,18.7,18.0,19.0,19.2,-0.2
438.0,중앙로,"3,762",6~7,양방향,22.6,21.8,19.4,21.6,22.0,-0.4
439.0,증가로,"2,721",2~4,양방향,18.9,18.3,17.4,18.3,18.7,-0.4
440.0,증산로,"6,743",3~9,양방향,29.1,27.5,23.0,27.1,27.3,-0.2
441.0,지봉로,"1,902",4~5,양방향,21.1,20.7,20.1,20.8,21.2,-0.4
442.0,진관2로,"1,332",4,양방향,16.0,14.9,14.6,15.2,15.4,-0.2
443.0,진황도로,"2,623",2~3,양방향,18.0,17.2,14.9,17.1,18.0,-0.9
444.0,진흥로,"5,015",4~8,양방향,25.4,25.3,22.3,24.8,24.8,0.0
445.0,창경궁로,"2,550",5~9,양방향,24.2,21.7,19.6,22.1,22.4,-0.3
446.0,창의문로,"1,449",4,양방향,27.5,26.6,25.6,26.7,28.1,-1.4
447.0,창전로,"1,045",4~6,양방향,18.3,16.5,15.5,17.0,17.4,-0.4
448.0,천중로,"2,034",2~4,양방향,17.8,16.5,15.3,16.7,17.4,-0.7
449.0,천호대로,"15,809",5~13,양방향,27.7,25.6,22.0,25.7,25.5,0.2
450.0,천호대로157길,318,1,양방향,17.0,12.1,10.2,12.9,13.7,-0.8
451.0,천호대로213길,152,4,양방향,16.5,13.4,13.1,14.3,15.1,-0.8
452.0,천호옛길,924,2,양방향,21.2,19.0,17.9,19.4,20.2,-0.8
453.0,청계천로,"5,923",2~6,양방향,19.0,14.6,14.5,16.5,16.6,-0.1
454.0,청와대로,804,2~4,양방향,20.2,18.4,18.7,19.3,22.3,-3.0
455.0,청파로,"4,388",2~6,양방향,25.6,21.4,21.4,22.9,23.7,-0.8
456.0,청파로47길,628,2,양방향,17.8,13.4,13.9,15.2,15.5,-0.3
457.0,초원로,670,4,양방향,16.9,18.2,17.0,18.1,17.9,0.2
458.0,충무로,808,3~4,양방향,18.1,16.0,14.8,16.2,17.7,-1.5
459.0,충민로,"1,903",4~8,양방향,18.5,17.2,16.6,17.5,18.4,-0.9
460.0,충민로2길,832,4,양방향,18.0,17.1,16.7,17.4,18.0,-0.6
461.0,충정로,852,8,양방향,24.8,22.4,20.2,23.1,24.3,-1.2
462.0,칠패로,591,4~7,양방향,19.0,15.6,14.3,16.5,16.3,0.2
463.0,탄천동로,"8,488",2~7,양방향,25.2,26.0,23.8,25.6,26.8,-1.2
464.0,태봉로,"1,602",7,양방향,23.0,24.2,21.4,23.6,23.1,0.5
465.0,테헤란로,"4,059",8~12,양방향,23.8,18.6,15.1,19.3,20.0,-0.7
466.0,테헤란로114길,323,2,양방향,18.6,17.0,17.4,18.1,19.4,-1.3
467.0,테헤란로115길,799,3~4,양방향,20.9,20.9,16.2,20.2,20.4,-0.2
468.0,토성로,847,3,양방향,16.4,15.7,14.9,15.7,17.0,-1.3
469.0,토정로,"3,217",2~4,양방향,20.0,18.4,18.5,19.0,18.9,0.1
470.0,통일로,"11,705",6~9,양방향,24.0,22.1,19.6,22.3,22.4,-0.1
471.0,퇴계로,"4,710",6~9,양방향,24.2,18.4,16.5,20.1,20.4,-0.3
472.0,평창문화로,"3,161",4,양방향,28.4,26.9,22.8,26.7,26.9,-0.2
473.0,풍성로,"3,250",2,양방향,17.9,17.1,15.6,17.2,17.8,-0.6
474.0,하늘길,674,10,양방향,32.7,32.6,31.5,32.1,30.3,1.8
475.0,학동로,"3,604",4~6,양방향,24.7,18.9,15.3,19.8,19.7,0.1
476.0,한가람로,"3,167",2~5,양방향,26.5,28.0,27.0,27.6,27.6,0.0
477.0,한강대로,"4,182",6~19,양방향,26.5,22.4,20.5,23.5,23.3,0.2
478.0,한강대로77길,180,4,양방향,16.8,13.5,11.6,13.9,13.8,0.1
479.0,한글비석로,"5,936",2~7,양방향,18.6,17.1,16.1,17.4,18.4,-1.0
480.0,한남대로,"2,144",9~10,양방향,36.3,33.1,30.3,33.5,32.6,0.9
481.0,한천로,"11,856",4~8,양방향,23.2,21.8,20.0,21.9,21.9,0.0
482.0,한천로58길,855,5,양방향,23.5,24.7,23.4,24.3,25.0,-0.7
483.0,한천로66길,"1,186",2~3,양방향,19.9,20.4,19.5,20.2,21.2,-1.0
484.0,해등로,"3,854",4,양방향,19.9,18.9,18.4,19.2,19.7,-0.5
485.0,행당로,"1,375",4,양방향,17.9,17.6,16.7,17.6,18.0,-0.4
486.0,허준로,"2,494",4~5,양방향,18.3,17.6,16.6,17.7,18.8,-1.1
487.0,헌릉로,"8,806",6~11,양방향,29.1,29.7,26.4,29.1,29.8,-0.7
488.0,현충로,"2,784",6~8,양방향,26.3,27.4,21.6,25.9,26.7,-0.8
489.0,혜화로,976,2,양방향,18.6,17.3,17.6,18.1,18.4,-0.3
490.0,호암로,"4,931",4,양방향,32.9,33.0,30.1,32.4,32.3,0.1
491.0,홍릉로,"1,271",4~5,양방향,20.6,19.3,19.0,19.8,20.0,-0.2
492.0,홍익로,355,2,양방향,16.0,11.5,10.3,12.4,13.4,-1.0
493.0,홍제천로,"1,111",2~3,양방향,21.0,21.1,18.9,20.7,20.4,0.3
494.0,화곡로,"5,988",4~8,양방향,22.5,23.5,18.1,22.4,23.0,-0.6
495.0,화랑로,"10,021",4~12,양방향,27.3,25.6,21.2,25.6,25.1,0.5
496.0,황물로,"1,970",4,양방향,18.5,17.5,18.8,18.4,19.1,-0.7
497.0,회기로,"1,997",2~6,양방향,22.7,20.4,19.3,20.9,21.1,-0.2
498.0,회기로5길,"1,080",2,양방향,24.5,24.5,21.6,24.3,23.8,0.5
499.0,효령로,"4,394",4~7,양방향,24.8,23.5,20.5,23.4,23.6,-0.2
500.0,효자로,"1,171",4,양방향,20.7,19.7,19.2,20.0,19.3,0.7
501.0,효창원로,"1,991",2~4,양방향,19.2,17.4,17.4,18.1,18.0,0.1
502.0,후암로,"1,186",2~5,양방향,18.8,18.0,16.9,18.2,18.4,-0.2
503.0,휘경로,800,3~4,양방향,20.9,19.3,18.5,19.8,20.3,-0.5
504.0,흑석로,"1,341",2~3,양방향,16.7,15.9,15.6,16.3,16.8,-0.5
505.0,희우정로,690,4,양방향,19.8,18.3,18.9,19.0,20.0,-1.0
